127.0	100.0	70.0
148.0	129.0	97.0
22.0	43.0	72.0
158.0	115.0	81.0
44.0	101.0	130.0
67.0	75.0	62.0
18.0	22.0	33.0
221.0	239.0	140.0
22.0	53.0	84.0
0.0	0.0	0.0
164.0	120.0	85.0
14.0	14.0	12.0
165.0	112.0	81.0
9.0	11.0	8.0
16.0	23.0	16.0
103.0	74.0	58.0
25.0	65.0	90.0
143.0	156.0	136.0
19.0	25.0	39.0
168.0	142.0	109.0
12.0	21.0	16.0
21.0	43.0	67.0
14.0	16.0	13.0
26.0	72.0	106.0
22.0	27.0	23.0
46.0	92.0	115.0
26.0	51.0	81.0
10.0	12.0	9.0
40.0	89.0	119.0
11.0	13.0	10.0
118.0	130.0	110.0
22.0	42.0	53.0
13.0	13.0	11.0
58.0	65.0	57.0
17.0	26.0	41.0
90.0	101.0	87.0
178.0	131.0	89.0
28.0	71.0	106.0
109.0	55.0	43.0
15.0	17.0	16.0
28.0	55.0	85.0
142.0	118.0	84.0
22.0	47.0	77.0
65.0	30.0	24.0
122.0	133.0	116.0
84.0	55.0	47.0
28.0	32.0	33.0
75.0	36.0	29.0
25.0	48.0	66.0
110.0	52.0	41.0
30.0	58.0	79.0
29.0	73.0	110.0
28.0	59.0	90.0
14.0	16.0	15.0
104.0	51.0	37.0
26.0	56.0	90.0
25.0	56.0	84.0
110.0	58.0	47.0
14.0	16.0	15.0
18.0	29.0	47.0
25.0	55.0	79.0
22.0	46.0	72.0
28.0	66.0	102.0
38.0	114.0	138.0
11.0	13.0	12.0
25.0	66.0	98.0
58.0	27.0	25.0
59.0	30.0	22.0
180.0	142.0	103.0
142.0	95.0	69.0
185.0	143.0	103.0
25.0	59.0	86.0
85.0	32.0	26.0
21.0	27.0	49.0
83.0	39.0	28.0
91.0	45.0	32.0
21.0	23.0	38.0
33.0	69.0	105.0
166.0	141.0	101.0
25.0	75.0	110.0
19.0	48.0	78.0
91.0	103.0	91.0
23.0	36.0	53.0
133.0	82.0	63.0
22.0	39.0	59.0
117.0	128.0	111.0
29.0	77.0	113.0
20.0	32.0	48.0
29.0	78.0	108.0
11.0	13.0	12.0
19.0	38.0	44.0
9.0	11.0	8.0
30.0	97.0	126.0
122.0	100.0	79.0
89.0	104.0	97.0
24.0	62.0	98.0
30.0	59.0	89.0
153.0	102.0	73.0
10.0	12.0	9.0
17.0	21.0	22.0
22.0	58.0	92.0
63.0	34.0	26.0
21.0	32.0	52.0
13.0	22.0	29.0
32.0	63.0	92.0
13.0	38.0	60.0
75.0	30.0	24.0
11.0	13.0	12.0
112.0	59.0	45.0
0.0	0.0	0.0
10.0	12.0	11.0
28.0	63.0	95.0
28.0	64.0	96.0
13.0	15.0	12.0
53.0	139.0	172.0
12.0	14.0	11.0
32.0	69.0	96.0
141.0	83.0	59.0
8.0	19.0	13.0
38.0	69.0	98.0
91.0	49.0	37.0
10.0	12.0	11.0
30.0	73.0	105.0
64.0	149.0	156.0
113.0	55.0	43.0
26.0	63.0	92.0
32.0	78.0	111.0
106.0	134.0	119.0
21.0	42.0	69.0
24.0	48.0	76.0
78.0	41.0	32.0
160.0	145.0	104.0
22.0	47.0	78.0
35.0	93.0	130.0
32.0	68.0	102.0
27.0	61.0	89.0
182.0	163.0	121.0
91.0	38.0	32.0
26.0	76.0	109.0
158.0	127.0	99.0
14.0	14.0	12.0
189.0	206.0	174.0
43.0	48.0	42.0
14.0	14.0	12.0
26.0	61.0	93.0
8.0	10.0	7.0
21.0	52.0	80.0
75.0	37.0	28.0
145.0	98.0	72.0
129.0	87.0	73.0
23.0	59.0	83.0
172.0	140.0	93.0
25.0	68.0	103.0
10.0	10.0	8.0
13.0	14.0	16.0
133.0	96.0	69.0
166.0	184.0	162.0
31.0	74.0	108.0
10.0	12.0	11.0
26.0	53.0	72.0
35.0	95.0	132.0
23.0	29.0	51.0
227.0	189.0	140.0
29.0	104.0	125.0
12.0	14.0	11.0
67.0	30.0	21.0
23.0	49.0	74.0
188.0	153.0	115.0
11.0	13.0	10.0
26.0	50.0	76.0
12.0	14.0	11.0
9.0	11.0	10.0
14.0	16.0	15.0
48.0	89.0	91.0
43.0	92.0	107.0
10.0	12.0	9.0
82.0	31.0	27.0
23.0	62.0	95.0
34.0	73.0	104.0
24.0	51.0	70.0
111.0	54.0	43.0
170.0	149.0	106.0
24.0	30.0	52.0
33.0	107.0	134.0
15.0	15.0	15.0
9.0	11.0	8.0
10.0	12.0	11.0
169.0	138.0	109.0
56.0	33.0	27.0
61.0	27.0	26.0
98.0	46.0	35.0
94.0	42.0	29.0
13.0	15.0	12.0
91.0	43.0	31.0
25.0	25.0	23.0
21.0	23.0	20.0
189.0	156.0	113.0
13.0	15.0	14.0
35.0	40.0	36.0
67.0	34.0	25.0
54.0	80.0	71.0
113.0	126.0	109.0
32.0	76.0	111.0
11.0	13.0	12.0
11.0	13.0	10.0
10.0	12.0	11.0
12.0	14.0	11.0
11.0	13.0	12.0
12.0	14.0	13.0
115.0	63.0	52.0
19.0	27.0	50.0
12.0	14.0	11.0
27.0	62.0	92.0
42.0	111.0	144.0
18.0	25.0	33.0
25.0	55.0	81.0
107.0	129.0	116.0
12.0	13.0	15.0
30.0	73.0	108.0
159.0	109.0	72.0
16.0	16.0	14.0
13.0	15.0	14.0
21.0	42.0	63.0
87.0	55.0	42.0
71.0	34.0	25.0
20.0	43.0	57.0
13.0	15.0	12.0
9.0	11.0	8.0
12.0	14.0	13.0
20.0	40.0	39.0
28.0	64.0	98.0
67.0	34.0	27.0
27.0	60.0	95.0
28.0	76.0	112.0
161.0	135.0	98.0
15.0	17.0	14.0
13.0	15.0	14.0
142.0	119.0	88.0
