11.0	13.0	10.0	+1
35.0	57.0	54.0	+1
27.0	41.0	70.0	+1
68.0	29.0	24.0	+1
30.0	57.0	87.0	+1
171.0	127.0	90.0	+1
141.0	108.0	75.0	+1
162.0	145.0	115.0	+1
51.0	59.0	61.0	+1
10.0	12.0	9.0	+1
12.0	14.0	11.0	+1
14.0	14.0	12.0	+1
67.0	160.0	175.0	+1
19.0	21.0	18.0	+1
12.0	14.0	13.0	+1
65.0	30.0	24.0	+1
71.0	32.0	25.0	+1
21.0	29.0	52.0	+1
22.0	52.0	78.0	+1
105.0	62.0	46.0	+1
25.0	62.0	88.0	+1
13.0	15.0	14.0	+1
26.0	58.0	81.0	+1
32.0	68.0	100.0	+1
88.0	35.0	29.0	+1
225.0	241.0	143.0	+1
22.0	37.0	58.0	+1
172.0	122.0	85.0	+1
10.0	12.0	9.0	+1
9.0	11.0	8.0	+1
165.0	138.0	109.0	+1
37.0	76.0	107.0	+1
82.0	35.0	27.0	+1
34.0	102.0	137.0	+1
53.0	82.0	80.0	+1
10.0	12.0	9.0	+1
162.0	119.0	77.0	+1
14.0	16.0	13.0	+1
23.0	66.0	82.0	+1
27.0	39.0	37.0	+1
11.0	13.0	10.0	+1
21.0	23.0	20.0	+1
70.0	31.0	24.0	+1
61.0	28.0	21.0	+1
109.0	42.0	33.0	+1
116.0	66.0	57.0	+1
93.0	46.0	36.0	+1
25.0	49.0	85.0	+1
19.0	31.0	47.0	+1
23.0	39.0	62.0	+1
20.0	28.0	49.0	+1
121.0	73.0	59.0	+1
22.0	61.0	94.0	+1
17.0	17.0	27.0	+1
91.0	44.0	34.0	+1
30.0	69.0	100.0	+1
29.0	59.0	85.0	+1
25.0	56.0	84.0	+1
10.0	10.0	10.0	+1
11.0	13.0	10.0	+1
23.0	55.0	80.0	+1
11.0	13.0	12.0	+1
24.0	38.0	67.0	+1
32.0	90.0	127.0	+1
19.0	22.0	37.0	+1
174.0	133.0	101.0	+1
27.0	75.0	111.0	+1
121.0	87.0	52.0	+1
92.0	42.0	35.0	+1
10.0	12.0	9.0	+1
27.0	70.0	105.0	+1
98.0	40.0	36.0	+1
14.0	14.0	12.0	+1
25.0	41.0	64.0	+1
179.0	141.0	102.0	+1
42.0	99.0	119.0	+1
30.0	66.0	88.0	+1
170.0	144.0	109.0	+1
101.0	52.0	45.0	+1
25.0	41.0	67.0	+1
173.0	132.0	102.0	+1
28.0	47.0	64.0	+1
125.0	142.0	126.0	+1
13.0	15.0	12.0	+1
63.0	120.0	140.0	+1
10.0	12.0	11.0	+1
12.0	16.0	15.0	+1
167.0	185.0	163.0	+1
118.0	67.0	50.0	+1
153.0	85.0	64.0	+1
25.0	41.0	67.0	+1
11.0	13.0	10.0	+1
88.0	39.0	32.0	+1
140.0	109.0	80.0	+1
45.0	105.0	105.0	+1
33.0	83.0	118.0	+1
118.0	97.0	68.0	+1
25.0	64.0	95.0	+1
38.0	92.0	120.0	+1
35.0	44.0	41.0	+1
109.0	49.0	38.0	+1
66.0	38.0	27.0	+1
26.0	32.0	58.0	+1
101.0	48.0	34.0	+1
21.0	23.0	35.0	+1
10.0	12.0	11.0	+1
97.0	69.0	45.0	+1
226.0	189.0	136.0	+1
22.0	29.0	48.0	+1
16.0	21.0	25.0	+1
31.0	61.0	87.0	+1
21.0	31.0	43.0	+1
174.0	141.0	98.0	+1
13.0	15.0	14.0	+1
86.0	39.0	31.0	+1
18.0	22.0	34.0	+1
55.0	30.0	23.0	+1
13.0	15.0	12.0	+1
26.0	62.0	98.0	+1
22.0	38.0	61.0	+1
21.0	33.0	57.0	+1
24.0	42.0	66.0	+1
130.0	57.0	42.0	+1
89.0	34.0	29.0	+1
12.0	14.0	13.0	+1
15.0	23.0	26.0	+1
26.0	77.0	108.0	+1
30.0	55.0	77.0	+1
24.0	42.0	66.0	+1
11.0	13.0	12.0	+1
42.0	102.0	100.0	+1
31.0	71.0	106.0	+1
81.0	37.0	28.0	+1
29.0	55.0	68.0	+1
44.0	23.0	18.0	+1
14.0	14.0	12.0	+1
174.0	125.0	92.0	+1
178.0	152.0	117.0	+1
24.0	60.0	92.0	+1
39.0	82.0	114.0	+1
32.0	52.0	76.0	+1
120.0	73.0	57.0	+1
83.0	32.0	29.0	+1
41.0	122.0	151.0	+1
20.0	33.0	49.0	+1
103.0	46.0	37.0	+1
10.0	10.0	10.0	+1
30.0	82.0	119.0	+1
24.0	60.0	84.0	+1
224.0	241.0	135.0	+1
19.0	32.0	48.0	+1
13.0	14.0	16.0	+1
27.0	66.0	99.0	+1
59.0	32.0	23.0	+1
28.0	40.0	40.0	+1
163.0	98.0	68.0	+1
11.0	13.0	12.0	+1
11.0	13.0	10.0	+1
17.0	17.0	15.0	+1
27.0	52.0	82.0	+1
108.0	67.0	49.0	+1
74.0	31.0	24.0	+1
78.0	88.0	79.0	+1
113.0	87.0	62.0	+1
11.0	13.0	10.0	+1
30.0	44.0	55.0	+1
25.0	66.0	98.0	+1
12.0	13.0	15.0	+1
26.0	46.0	71.0	+1
191.0	146.0	113.0	+1
14.0	13.0	11.0	+1
29.0	35.0	35.0	+1
152.0	126.0	89.0	+1
23.0	54.0	83.0	+1
30.0	71.0	103.0	+1
76.0	31.0	26.0	+1
13.0	16.0	9.0	+1
98.0	63.0	41.0	+1
177.0	146.0	115.0	+1
11.0	13.0	10.0	+1
66.0	27.0	20.0	+1
25.0	53.0	77.0	+1
42.0	126.0	160.0	+1
43.0	79.0	105.0	+1
154.0	119.0	79.0	+1
1.0	1.0	1.0	+1
169.0	125.0	98.0	+1
13.0	18.0	14.0	+1
9.0	11.0	8.0	+1
32.0	78.0	112.0	+1
79.0	36.0	29.0	+1
40.0	117.0	145.0	+1
20.0	27.0	43.0	+1
158.0	144.0	105.0	+1
13.0	15.0	12.0	+1
23.0	37.0	64.0	+1
29.0	102.0	137.0	+1
19.0	25.0	41.0	+1
20.0	22.0	35.0	+1
19.0	19.0	27.0	+1
134.0	104.0	78.0	+1
139.0	108.0	80.0	+1
24.0	41.0	69.0	+1
31.0	36.0	32.0	+1
27.0	62.0	94.0	+1
22.0	39.0	59.0	+1
87.0	43.0	32.0	+1
211.0	220.0	153.0	+1
85.0	41.0	32.0	+1
19.0	52.0	83.0	+1
96.0	58.0	49.0	+1
152.0	111.0	83.0	+1
99.0	51.0	37.0	+1
23.0	41.0	61.0	+1
105.0	53.0	40.0	+1
28.0	67.0	100.0	+1
14.0	14.0	12.0	+1
176.0	136.0	100.0	+1
8.0	10.0	7.0	+1
15.0	15.0	13.0	+1
26.0	52.0	75.0	+1
17.0	19.0	16.0	+1
100.0	40.0	30.0	+1
151.0	139.0	115.0	+1
77.0	40.0	34.0	+1
39.0	90.0	109.0	+1
179.0	146.0	103.0	+1
14.0	16.0	15.0	+1
25.0	42.0	72.0	+1
61.0	37.0	25.0	+1
140.0	84.0	67.0	+1
119.0	132.0	114.0	+1
78.0	39.0	32.0	+1
17.0	21.0	22.0	+1
69.0	35.0	26.0	+1
12.0	14.0	11.0	+1
22.0	39.0	67.0	+1
238.0	240.0	237.0	+1
12.0	14.0	11.0	+1
174.0	168.0	136.0	+1
108.0	69.0	54.0	+1
113.0	127.0	110.0	+1
10.0	12.0	9.0	+1
21.0	21.0	19.0	+1
29.0	59.0	85.0	+1
26.0	37.0	59.0	+1
44.0	118.0	143.0	+1
